Using Master Port: 41834
Autodetected device type: cuda
Calculated number of steps: 467
Scaling the LR for the AdamW parameters ∝1/√(1664/768) = 0.679366
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([26]), sliced=False
AdamW: 1 param of shape torch.Size([26]), sliced=False
Muon: 13 params of shape torch.Size([13, 32]), chunk_size=7
Muon: 104 params of shape torch.Size([1664, 1664]), chunk_size=52
Muon: 26 params of shape torch.Size([1664, 6656]), chunk_size=13
Muon: 26 params of shape torch.Size([6656, 1664]), chunk_size=13
Total sequences per step: 256
Calculated examples per rank: 8
Step 0 | Pass@1: 0.1275, Pass@2: 0.1650, Pass@3: 0.2150, Pass@4: 0.2625, Pass@5: 0.2950, Pass@6: 0.3025, Pass@7: 0.3150, Pass@8: 0.3350
Step 0/467 | Example step 0 | Pass 0 | loss: -0.000877 | Average reward: 0.625
Step 0/467 | Example step 0 | Pass 1 | loss: -0.006560 | Average reward: 0.375
Step 0/467 | Example step 1 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 0/467 | Example step 1 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 0/467 | Example step 2 | Pass 0 | loss: 0.000594 | Average reward: 0.125
Step 0/467 | Example step 2 | Pass 1 | loss: -0.002164 | Average reward: 0.0
Step 0/467 | Example step 3 | Pass 0 | loss: -0.011150 | Average reward: 0.375
Step 0/467 | Example step 3 | Pass 1 | loss: 0.006003 | Average reward: 0.75
Step 0/467 | Example step 4 | Pass 0 | loss: 0.006665 | Average reward: 0.125
Step 0/467 | Example step 4 | Pass 1 | loss: -0.002346 | Average reward: 0.0
Step 0/467 | Example step 5 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 0/467 | Example step 5 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 0/467 | Example step 6 | Pass 0 | loss: -0.001098 | Average reward: 0.125
Step 0/467 | Example step 6 | Pass 1 | loss: 0.001964 | Average reward: 0.25
Step 0/467 | Example step 7 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 0/467 | Example step 7 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 0/467 | Average reward: 0.08984375 | Average sequence length: 185.40
Step 1/467 | Example step 0 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 1/467 | Example step 0 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 1/467 | Example step 1 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 1/467 | Example step 1 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 1/467 | Example step 2 | Pass 0 | loss: -0.001759 | Average reward: 0.0
Step 1/467 | Example step 2 | Pass 1 | loss: -0.000441 | Average reward: 0.125
Step 1/467 | Example step 3 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 1/467 | Example step 3 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 1/467 | Example step 4 | Pass 0 | loss: -0.003844 | Average reward: 0.0
Step 1/467 | Example step 4 | Pass 1 | loss: 0.005149 | Average reward: 0.125
Step 1/467 | Example step 5 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 1/467 | Example step 5 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 1/467 | Example step 6 | Pass 0 | loss: -0.002245 | Average reward: 0.125
Step 1/467 | Example step 6 | Pass 1 | loss: 0.000860 | Average reward: 0.125
Step 1/467 | Example step 7 | Pass 0 | loss: 0.000788 | Average reward: 0.125
Step 1/467 | Example step 7 | Pass 1 | loss: -0.002416 | Average reward: 0.0
Step 1/467 | Average reward: 0.03125 | Average sequence length: 209.39
Step 2/467 | Example step 0 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 2/467 | Example step 0 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 2/467 | Example step 1 | Pass 0 | loss: -0.002341 | Average reward: 0.625
Step 2/467 | Example step 1 | Pass 1 | loss: -0.010299 | Average reward: 0.5
Step 2/467 | Example step 2 | Pass 0 | loss: -0.003256 | Average reward: 0.25
Step 2/467 | Example step 2 | Pass 1 | loss: -0.003777 | Average reward: 0.375
Step 2/467 | Example step 3 | Pass 0 | loss: -0.005041 | Average reward: 0.0
Step 2/467 | Example step 3 | Pass 1 | loss: 0.002400 | Average reward: 0.25
Step 2/467 | Example step 4 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 2/467 | Example step 4 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 2/467 | Example step 5 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 2/467 | Example step 5 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 2/467 | Example step 6 | Pass 0 | loss: -0.001871 | Average reward: 0.0
Step 2/467 | Example step 6 | Pass 1 | loss: -0.000929 | Average reward: 0.125
Step 2/467 | Example step 7 | Pass 0 | loss: 0.004877 | Average reward: 0.125
Step 2/467 | Example step 7 | Pass 1 | loss: -0.002451 | Average reward: 0.0
Step 2/467 | Average reward: 0.11328125 | Average sequence length: 201.67
Step 3/467 | Example step 0 | Pass 0 | loss: -0.005279 | Average reward: 0.0
Step 3/467 | Example step 0 | Pass 1 | loss: 0.006976 | Average reward: 0.375
Step 3/467 | Example step 1 | Pass 0 | loss: 0.008669 | Average reward: 0.125
Step 3/467 | Example step 1 | Pass 1 | loss: -0.003401 | Average reward: 0.0
Step 3/467 | Example step 2 | Pass 0 | loss: 0.000846 | Average reward: 0.125
Step 3/467 | Example step 2 | Pass 1 | loss: -0.001707 | Average reward: 0.125
Step 3/467 | Example step 3 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 3/467 | Example step 3 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 3/467 | Example step 4 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 3/467 | Example step 4 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 3/467 | Example step 5 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 3/467 | Example step 5 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 3/467 | Example step 6 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 3/467 | Example step 6 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 3/467 | Example step 7 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 3/467 | Example step 7 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 3/467 | Average reward: 0.0859375 | Average sequence length: 193.98
Step 4/467 | Example step 0 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 4/467 | Example step 0 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 4/467 | Example step 1 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 4/467 | Example step 1 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 4/467 | Example step 2 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 4/467 | Example step 2 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 4/467 | Example step 3 | Pass 0 | loss: -0.004908 | Average reward: 0.0
Step 4/467 | Example step 3 | Pass 1 | loss: 0.001475 | Average reward: 0.375
Step 4/467 | Example step 4 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 4/467 | Example step 4 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 4/467 | Example step 5 | Pass 0 | loss: -0.001658 | Average reward: 0.125
Step 4/467 | Example step 5 | Pass 1 | loss: 0.000497 | Average reward: 0.125
Step 4/467 | Example step 6 | Pass 0 | loss: -0.002273 | Average reward: 0.125
Step 4/467 | Example step 6 | Pass 1 | loss: -0.002193 | Average reward: 0.125
Step 4/467 | Example step 7 | Pass 0 | loss: 0.003625 | Average reward: 0.125
Step 4/467 | Example step 7 | Pass 1 | loss: -0.003417 | Average reward: 0.0
Step 4/467 | Average reward: 0.09375 | Average sequence length: 173.62
Step 5/467 | Example step 0 | Pass 0 | loss: 0.001240 | Average reward: 0.125
Step 5/467 | Example step 0 | Pass 1 | loss: -0.002422 | Average reward: 0.0
Step 5/467 | Example step 1 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 5/467 | Example step 1 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 5/467 | Example step 2 | Pass 0 | loss: 0.000813 | Average reward: 0.125
Step 5/467 | Example step 2 | Pass 1 | loss: -0.005534 | Average reward: 0.0
Step 5/467 | Example step 3 | Pass 0 | loss: -0.004826 | Average reward: 0.0
Step 5/467 | Example step 3 | Pass 1 | loss: 0.003205 | Average reward: 0.25
Step 5/467 | Example step 4 | Pass 0 | loss: -0.005524 | Average reward: 0.5
Step 5/467 | Example step 4 | Pass 1 | loss: -0.003562 | Average reward: 0.625
Step 5/467 | Example step 5 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 5/467 | Example step 5 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 5/467 | Example step 6 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 5/467 | Example step 6 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 5/467 | Example step 7 | Pass 0 | loss: -0.004633 | Average reward: 0.0
Step 5/467 | Example step 7 | Pass 1 | loss: 0.002314 | Average reward: 0.25
Step 5/467 | Average reward: 0.0703125 | Average sequence length: 187.68
Step 6/467 | Example step 0 | Pass 0 | loss: -0.006035 | Average reward: 0.125
Step 6/467 | Example step 0 | Pass 1 | loss: -0.000058 | Average reward: 0.375
Step 6/467 | Example step 1 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 6/467 | Example step 1 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 6/467 | Example step 2 | Pass 0 | loss: 0.002831 | Average reward: 0.375
Step 6/467 | Example step 2 | Pass 1 | loss: -0.006536 | Average reward: 0.0
Step 6/467 | Example step 3 | Pass 0 | loss: 0.006071 | Average reward: 0.25
Step 6/467 | Example step 3 | Pass 1 | loss: -0.005441 | Average reward: 0.0
Step 6/467 | Example step 4 | Pass 0 | loss: 0.003810 | Average reward: 0.75
Step 6/467 | Example step 4 | Pass 1 | loss: -0.012507 | Average reward: 0.375
