Using Master Port: 27673
Autodetected device type: cuda
Target examples per step: 32
Device batch size: 4
Examples per step is device_batch_size * ddp_world_size: 8
=> Setting grad accum steps: 4
Scaling the LR for the AdamW parameters ∝1/√(1664/768) = 0.679366
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([26]), sliced=False
AdamW: 1 param of shape torch.Size([26]), sliced=False
Muon: 13 params of shape torch.Size([13, 32]), chunk_size=7
Muon: 104 params of shape torch.Size([1664, 1664]), chunk_size=52
Muon: 26 params of shape torch.Size([1664, 6656]), chunk_size=13
Muon: 26 params of shape torch.Size([6656, 1664]), chunk_size=13
Step 00000 | Validation loss: 0.791633
Step 00000/00701 | Training loss: 0.460109| lrm: 1.000000| num_tokens: 9,256
Step 00001/00701 | Training loss: 0.743806| lrm: 0.998573| num_tokens: 12,418
Step 00002/00701 | Training loss: 0.154697| lrm: 0.997147| num_tokens: 9,005
Step 00003/00701 | Training loss: 0.473679| lrm: 0.995720| num_tokens: 15,020
Step 00004/00701 | Training loss: 0.531220| lrm: 0.994294| num_tokens: 8,762
Step 00005/00701 | Training loss: 0.557092| lrm: 0.992867| num_tokens: 13,129
Step 00006/00701 | Training loss: 0.701576| lrm: 0.991441| num_tokens: 11,899
Step 00007/00701 | Training loss: 0.651344| lrm: 0.990014| num_tokens: 9,923
Step 00008/00701 | Training loss: 0.190652| lrm: 0.988588| num_tokens: 11,216
Step 00009/00701 | Training loss: 0.580322| lrm: 0.987161| num_tokens: 9,896
Step 00010/00701 | Training loss: 0.706661| lrm: 0.985735| num_tokens: 9,564
Step 00011/00701 | Training loss: 0.651955| lrm: 0.984308| num_tokens: 13,669
Step 00012/00701 | Training loss: 0.367010| lrm: 0.982882| num_tokens: 13,885
Step 00013/00701 | Training loss: 0.491027| lrm: 0.981455| num_tokens: 6,030
Step 00014/00701 | Training loss: 0.345524| lrm: 0.980029| num_tokens: 11,619
Step 00015/00701 | Training loss: 0.504179| lrm: 0.978602| num_tokens: 12,139
Step 00016/00701 | Training loss: 0.934047| lrm: 0.977175| num_tokens: 8,654
Step 00017/00701 | Training loss: 0.807827| lrm: 0.975749| num_tokens: 10,094
Step 00018/00701 | Training loss: 0.667339| lrm: 0.974322| num_tokens: 11,479
Step 00019/00701 | Training loss: 0.903045| lrm: 0.972896| num_tokens: 12,562
Step 00020/00701 | Training loss: 0.503465| lrm: 0.971469| num_tokens: 9,883
