Using Master Port: 32023

                                                       █████                █████
                                                      ░░███                ░░███
     ████████    ██████   ████████    ██████   ██████  ░███████    ██████  ███████
    ░░███░░███  ░░░░░███ ░░███░░███  ███░░███ ███░░███ ░███░░███  ░░░░░███░░░███░
     ░███ ░███   ███████  ░███ ░███ ░███ ░███░███ ░░░  ░███ ░███   ███████  ░███
     ░███ ░███  ███░░███  ░███ ░███ ░███ ░███░███  ███ ░███ ░███  ███░░███  ░███ ███
     ████ █████░░████████ ████ █████░░██████ ░░██████  ████ █████░░███████  ░░█████
    ░░░░ ░░░░░  ░░░░░░░░ ░░░░ ░░░░░  ░░░░░░   ░░░░░░  ░░░░ ░░░░░  ░░░░░░░░   ░░░░░
    
Autodetected device type: cuda
GPU: NVIDIA H100 80GB HBM3 | Peak FLOPS (BF16): 9.89e+14
✓ Using Flash Attention 3 (Hopper GPU detected), efficient, new and awesome. 其实用的还是 Flash Attention 2, v2.8.3 版本, 是否有针对 H100 的特定优化待考量.
Vocab size: 32,768
num_layers: 26
model_dim: 1664 (base: 1664, nudge: +0)
num_heads: 13
head_dim: 128
num_kv_heads: 13
Tokens / micro-batch / rank: 8 x 2048 = 16,384
Tokens / micro-batch: 32,768
Total batch size 524,288 => gradient accumulation steps: 16
Scaling weight decay from 0.200000 to 0.042604 for depth 26
Resuming optimization from step 1000
Number of parameters: 1,681,790,292 (scaling: 1,681,790,292)
Estimated FLOPs per token: 6.185320e+09
Calculated number of iterations from target data:param ratio: 54,531
Total number of training tokens: 28,589,948,928
Tokens : Params ratio: 17.00
Total training FLOPs estimate: 1.768380e+20
Scaling the LR for the AdamW parameters ∝1/√(1664/768) = 0.679366
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([26]), sliced=False
AdamW: 1 param of shape torch.Size([26]), sliced=False
Muon: 13 params of shape torch.Size([13, 32]), chunk_size=7
Muon: 104 params of shape torch.Size([1664, 1664]), chunk_size=52
Muon: 26 params of shape torch.Size([1664, 6656]), chunk_size=13
Muon: 26 params of shape torch.Size([6656, 1664]), chunk_size=13
Step 01000 | Validation bpb: 0.920013
step 01000/54531 (1.83%) | loss: 2.991695 | lrm: 1.00 | dt: 80338.86ms | tok/sec: 6,525 | mfu: 2.04 | epoch: 1 | total time: 61.46m | eta: 3323.4m
step 01001/54531 (1.84%) | loss: 2.988158 | lrm: 1.00 | dt: 3616.32ms | tok/sec: 144,978 | mfu: 45.34 | epoch: 1 | total time: 61.52m | eta: 3323.2m
step 01002/54531 (1.84%) | loss: 2.990795 | lrm: 1.00 | dt: 3579.76ms | tok/sec: 146,458 | mfu: 45.80 | epoch: 1 | total time: 61.58m | eta: 3323.0m
step 01003/54531 (1.84%) | loss: 2.975516 | lrm: 1.00 | dt: 3581.36ms | tok/sec: 146,393 | mfu: 45.78 | epoch: 1 | total time: 61.64m | eta: 3322.8m
step 01004/54531 (1.84%) | loss: 2.964812 | lrm: 1.00 | dt: 3561.57ms | tok/sec: 147,206 | mfu: 46.03 | epoch: 1 | total time: 61.70m | eta: 3322.6m
step 01005/54531 (1.84%) | loss: 2.972155 | lrm: 1.00 | dt: 4139.38ms | tok/sec: 126,658 | mfu: 39.61 | epoch: 1 | total time: 61.77m | eta: 3322.9m
step 01006/54531 (1.84%) | loss: 2.978194 | lrm: 1.00 | dt: 3623.96ms | tok/sec: 144,672 | mfu: 45.24 | epoch: 1 | total time: 61.83m | eta: 3322.8m
step 01007/54531 (1.85%) | loss: 2.997960 | lrm: 1.00 | dt: 3578.00ms | tok/sec: 146,530 | mfu: 45.82 | epoch: 1 | total time: 61.89m | eta: 3322.6m
step 01008/54531 (1.85%) | loss: 3.007781 | lrm: 1.00 | dt: 3573.84ms | tok/sec: 146,701 | mfu: 45.87 | epoch: 1 | total time: 61.95m | eta: 3322.4m
step 01009/54531 (1.85%) | loss: 3.006708 | lrm: 1.00 | dt: 3578.39ms | tok/sec: 146,515 | mfu: 45.82 | epoch: 1 | total time: 62.01m | eta: 3322.2m
step 01010/54531 (1.85%) | loss: 2.995045 | lrm: 1.00 | dt: 3562.09ms | tok/sec: 147,185 | mfu: 46.03 | epoch: 1 | total time: 62.07m | eta: 3322.0m
step 01011/54531 (1.85%) | loss: 3.000230 | lrm: 1.00 | dt: 3564.60ms | tok/sec: 147,081 | mfu: 45.99 | epoch: 1 | total time: 62.13m | eta: 3321.8m
step 01012/54531 (1.86%) | loss: 3.013006 | lrm: 1.00 | dt: 3574.52ms | tok/sec: 146,673 | mfu: 45.87 | epoch: 1 | total time: 62.19m | eta: 3321.6m
step 01013/54531 (1.86%) | loss: 3.010615 | lrm: 1.00 | dt: 3574.37ms | tok/sec: 146,679 | mfu: 45.87 | epoch: 1 | total time: 62.25m | eta: 3321.4m
step 01014/54531 (1.86%) | loss: 2.991486 | lrm: 1.00 | dt: 3579.11ms | tok/sec: 146,485 | mfu: 45.81 | epoch: 1 | total time: 62.31m | eta: 3321.2m
step 01015/54531 (1.86%) | loss: 2.990156 | lrm: 1.00 | dt: 3580.64ms | tok/sec: 146,423 | mfu: 45.79 | epoch: 1 | total time: 62.37m | eta: 3321.0m
step 01016/54531 (1.86%) | loss: 3.002061 | lrm: 1.00 | dt: 3577.61ms | tok/sec: 146,546 | mfu: 45.83 | epoch: 1 | total time: 62.43m | eta: 3320.8m
step 01017/54531 (1.86%) | loss: 2.999687 | lrm: 1.00 | dt: 3580.19ms | tok/sec: 146,441 | mfu: 45.79 | epoch: 1 | total time: 62.49m | eta: 3320.6m
